STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,subjnmon,Subjective and non-monetary indicator,hhtyp,Type of household,incgrp,Income situation in relation to the risk of poverty threshold,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CY,Cyprus,2023,,13.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CY,Cyprus,2024,,11.0,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CZ,Czechia,2020,,7.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CZ,Czechia,2021,,7.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CZ,Czechia,2022,,7.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CZ,Czechia,2023,,8.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,CZ,Czechia,2024,,8.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,DE,Germany,2020,,2.9,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,DE,Germany,2021,,3.4,,u,low reliability,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,DE,Germany,2022,,4.3,,u,low reliability,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,DE,Germany,2023,,5.1,,u,low reliability,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,DE,Germany,2024,,3.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,DK,Denmark,2020,,4.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,DK,Denmark,2021,,4.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,DK,Denmark,2022,,5.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,DK,Denmark,2023,,7.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,DK,Denmark,2024,,7.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EE,Estonia,2020,,5.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EE,Estonia,2021,,4.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EE,Estonia,2022,,4.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EE,Estonia,2023,,6.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EE,Estonia,2024,,5.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EL,Greece,2020,,36.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EL,Greece,2021,,36.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EL,Greece,2022,,33.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EL,Greece,2023,,32.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EL,Greece,2024,,33.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,ES,Spain,2020,,10.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,ES,Spain,2021,,10.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,ES,Spain,2022,,11.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,ES,Spain,2023,,11.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,ES,Spain,2024,,11.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EU27_2020,European Union - 27 countries (from 2020),2020,,10.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EU27_2020,European Union - 27 countries (from 2020),2021,,9.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EU27_2020,European Union - 27 countries (from 2020),2022,,10.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EU27_2020,European Union - 27 countries (from 2020),2023,,10.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,EU27_2020,European Union - 27 countries (from 2020),2024,,9.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,FI,Finland,2020,,3.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,FI,Finland,2021,,3.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,FI,Finland,2022,,3.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,FI,Finland,2023,,4.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,FI,Finland,2024,,5.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,FR,France,2020,,10.3,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,FR,France,2021,,9.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,FR,France,2022,,12.1,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,FR,France,2023,,12.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,FR,France,2024,,11.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,HR,Croatia,2020,,18.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,HR,Croatia,2021,,15.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,HR,Croatia,2022,,14.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,HR,Croatia,2023,,11.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,HR,Croatia,2024,,11.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,HU,Hungary,2020,,16.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,HU,Hungary,2021,,14.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,HU,Hungary,2022,,12.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,HU,Hungary,2023,,13.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,HU,Hungary,2024,,11.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,IE,Ireland,2020,,9.2,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,IE,Ireland,2021,,8.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,IE,Ireland,2022,,10.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,IE,Ireland,2023,,9.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,IE,Ireland,2024,,9.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,IS,Iceland,2020,,5.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,IT,Italy,2020,,12.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,IT,Italy,2021,,12.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,IT,Italy,2022,,13.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,IT,Italy,2023,,10.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,IT,Italy,2024,,10.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LT,Lithuania,2020,,8.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LT,Lithuania,2021,,6.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LT,Lithuania,2022,,6.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LT,Lithuania,2023,,6.7,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LT,Lithuania,2024,,5.8,,p,provisional,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LU,Luxembourg,2020,,5.3,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LU,Luxembourg,2021,,3.7,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LU,Luxembourg,2022,,2.9,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LU,Luxembourg,2023,,2.9,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LU,Luxembourg,2024,,3.5,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LV,Latvia,2020,,13.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LV,Latvia,2021,,10.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LV,Latvia,2022,,13.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LV,Latvia,2023,,12.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,LV,Latvia,2024,,14.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,ME,Montenegro,2020,,31.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,ME,Montenegro,2021,,33.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,ME,Montenegro,2022,,26.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,MK,North Macedonia,2020,,20.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,MK,North Macedonia,2021,,21.8,,b,break in time series,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,MK,North Macedonia,2022,,25.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,MT,Malta,2020,,9.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,MT,Malta,2021,,9.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,MT,Malta,2022,,14.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_D,Households making ends meet with difficulty,TOTAL,Total,A_MD60,Above 60% of median equivalised income,MT,Malta,2023,,9.9,,,,,
